id,name,text,trans
0-chapter_name,,人の持つ美しさ,人类之美
0-synopsis,,清らかな水を飲ませ続ければ病が治ることがわかった街医者は、エウロペに協力を必死に頼み込み、エウロペは協力を了承する。街が活気づいていく様子を見て、エウロペは「人々が支え合い、助け合うことで笑顔が広がっていく。実に美しい」とうっとりとした表情を浮かべる。その後姬塔達は病の原因である水源の汚染を解決する為、水源に巣食う魔物との戦いに赴くのだった。,医生得知了只要喝到清净的水就能治好病之后，极力请求欧罗巴的协助，欧罗巴答应了医生的请求。看着街上充满活力的样子，欧罗巴说，「人类互相支持，互相帮助，以此传播了笑容。真是非常美丽。」，并露出了心醉的神情。之后，姬塔他们为了解决病的源头，前往了水源与在那筑巢的魔物战斗了。
1,,<span class='scene-font-katari'>エウロペが生成した水のお蔭で</span><br><span class='scene-font-katari'>なんとか動ける様になった</span><br><span class='scene-font-katari'>姬塔。</span>,多亏了欧罗巴生成的水，姬塔总算可以活动了。
2,,<span class='scene-font-katari'>だが、その体調は</span><br><span class='scene-font-katari'>未だ本調子とはいえなかった。</span>,
3,エウロペ/欧罗巴,……姬塔様。<br>体調を早く治すためには、お水を沢山<br>飲んで毒素を外に出すのが一番です。,
4,エウロペ/欧罗巴,ですので、もっとお水を<br>飲んでください。,
5,,<span class='scene-font-katari'>エウロペは</span><br><span class='scene-font-katari'>次から次へと水を生成し、</span><br><span class='scene-font-katari'>姬塔に飲ませる。</span>,
16,姬塔,──……,
16-sel1_txt,,<span class='scene-font-katari'>もう十分！</span>,
17,エウロペ/欧罗巴,もうよろしいのですか？<br>もっと飲まれた方が……,
18,ビィ/碧,っていうか、それ以上<br>飲ませたら姬塔の腹が<br>破裂しちまうぜ……,
19,エウロペ/欧罗巴,破裂……,
20,エウロペ/欧罗巴,なるほど……<br>良いお水であっても飲みすぎては<br>害になると……,
21,エウロペ/欧罗巴,姬塔様。<br>大変、失礼いたしました。,
22,,<span class='scene-font-katari'>エウロペは反省した様子で</span><br><span class='scene-font-katari'>姬塔に対し、頭を下げる。</span>,
23,エウロペ/欧罗巴,人の身体とは想像以上に<br>複雑なものなのですね。,
24,エウロペ/欧罗巴,今後は此度のことを踏まえて、<br>人の身体の脆弱さと言うものを<br>改めさせていただきます。,
25,ルリア/露莉亚,あ、あはは……,
26,街医者,えっと、少しいいかな？,
27,エウロペ/欧罗巴,はい、なんでしょうか？,
28,街医者,さっきの説明だと<br>君は魔法かなにかで<br>水を産みだせるんだよね？,
29,街医者,それも毒素を浄化できるような<br>素晴らしい水を……,
30,エウロペ/欧罗巴,はい。それぐらいのことでしたら、<br>雑作もございません。,
31,街医者,だったら、頼む。<br>その力を私達に……いや、この街に<br>貸してくれないか！,
32,,<span class='scene-font-katari'>そう言うと医者は</span><br><span class='scene-font-katari'>エウロペに対し、頭を下げる。</span>,
33,エウロペ/欧罗巴,…………,
34,街医者,君の力が……君の作る水があれば、<br>ここにいる人達を助けることが<br>できるんだ。,
35,街医者,だからっ！,
36,,<span class='scene-font-katari'>エウロペの目を真っ直ぐに</span><br><span class='scene-font-katari'>見つめる医者。</span>,
37,,<span class='scene-font-katari'>その目を前にエウロペは</span><br><span class='scene-font-katari'>どこか感心したような</span><br><span class='scene-font-katari'>表情を浮かべる。</span>,
38,エウロペ/欧罗巴,<span class='scene-font-2'>その真剣な眼差し……</span><br><span class='scene-font-2'>そして、他者を尊ぶ心……</span><br><span class='scene-font-2'>中々に美しいですね。</span>,
39,エウロペ/欧罗巴,お医者様、頭を上げてください。<br>私でよければ<br>お力になりましょう。,
41,街医者,あぁ……ありがとう！　感謝する！<br>これで街の人達が……,
42,街医者,こんなに嬉しいことはないよ……,
43,,<span class='scene-font-katari'>エウロペの言葉に医者は</span><br><span class='scene-font-katari'>歓喜の表情と嬉し涙を見せる。</span>,
43-sel1_txt,,<span class='scene-font-katari'>街の人達を助けてくれてありがとう</span>,
44,エウロペ/欧罗巴,お気になさらず。,
45,エウロペ/欧罗巴,困っている人達を助ける。<br>それが姬塔様達の……,
46,エウロペ/欧罗巴,いえ、この騎空団の在り方<br>なのですよね？,
47,ルリア/露莉亚,はい！<br>困っている人達を<br>放っておくなんてできません！,
48,エウロペ/欧罗巴,私がガブリエル様より賜った使命は<br>姬塔様達のお傍で<br>お力添えをすること……,
49,エウロペ/欧罗巴,ですので、姬塔様達が<br>困っている人々を……<br>この街の人々を助けたい……,
50,エウロペ/欧罗巴,そう願われるのでしたら、<br>お力添えをするのは<br>願ってもないことです。,
51,エウロペ/欧罗巴,それに、困難な状況下でこそ、<br>人は協力し合う……,
52,エウロペ/欧罗巴,そして、それこそが<br>人が持つ至高の美しさの<br>発露に繋がる……,
53,エウロペ/欧罗巴,そうガブリエル様や天司長から<br>聞いております。,
54,エウロペ/欧罗巴,ですので、私としても力を貸すのは<br>意義のある事だと思っています。,
55,エウロペ/欧罗巴,なにより、お医者様にはまだ、<br>姬塔様を助けていただいた<br>お礼をしていませんので。,
56,,<span class='scene-font-katari'>そう言うとエウロペは</span><br><span class='scene-font-katari'>穏やかに微笑む。</span>,
57,エウロペ/欧罗巴,それで、お医者様、<br>私はどこにお水を用意すれば<br>よろしいでしょうか？,
58,街医者,えっと、それじゃコップに……,
60,街医者,いや、それじゃダメだ。<br>効率が悪いし、<br>配るのにも時間がかかる。,
61,街医者,なにより、君にかかる負担が<br>大きい……,
63,街医者,うーん、何かいい方法は……,
64,エウロペ/欧罗巴,……お医者様。<br>近くに大量の水を溜めることの出来る<br>場所はございませんか？,
