id,name,text,trans
0-chapter_name,,波打ち際で寄り添って,
0-synopsis,,エウロペは、ナンパには自然界における求愛行動と通じるところがあると感じる。しかし人間にとってナンパとは迷惑行為であるという。エウロペが感覚の違いに悩んでいると、そこに水着姿のガブリエルが現れる。ガブリエルは「人間の関わる物事は複雑で、ひとつの事象に対しあらゆる見方ができる」と告げると、自らバカンスを経験し人間を知るようエウロペを諭すのだった。,
1,,<span class='scene-font-katari'>ゴミ拾いを続けるエウロペのもとに</span><br><span class='scene-font-katari'>しつこいナンパを止めに向かった</span><br><span class='scene-font-katari'>姬塔達が戻ってきた。</span>,
2,エウロペ/欧罗巴,…………,
3,ルリア/露莉亚,エウロペさん、どうかしたんですか？,
4,エウロペ/欧罗巴,やはりわからないことがありまして……,
5,エウロペ/欧罗巴,私は人々の交流を美しいと思います。<br>人間は見知らぬ人間と出会い、<br>信頼関係を築くものと考えていました。,
6,エウロペ/欧罗巴,ですが、ナンパは迷惑であると……<br>一体、どこに違いがあるのでしょうか？<br>両者は同じように思えるのですが……,
7,ビィ/碧,え、えっとぉ……<br>全部のナンパが迷惑っつーことは<br>ないかもしんねぇけどよ……,
8,,<span class='scene-font-katari'>エウロペが悩ましげに考える一方、</span><br><span class='scene-font-katari'>その様子を心配したビィとルリアは</span><br><span class='scene-font-katari'>小声で言葉を交わす。</span>,
9,ビィ/碧,う～ん……<br>せっかく<span class='scene-font-place'>アウギュステ</span>に来たのに<br>難しい話になっちまってねーか……？,
10,ルリア/露莉亚,エウロペさんにはバカンスを<br>楽しんでもらいたいんですけど……,
11,ビィ/碧,バカンスのことなんて<br>本人はすっかり忘れちまってる<br>みてぇだよなぁ……,
13,？？？,私に任せなさい。,
14,ビィ/碧,んん？,
15,ルリア/露莉亚,えっ！？,
16,ガブリエル/加百列,久しぶりね、みんな。<br>元気そうでよかったわ。,
17,エウロペ/欧罗巴,ガブリエル様……！,
18,ビィ/碧,天司の姉ちゃんじゃねぇか！<br>なんでここにいるんだぁ！？,
19,,<span class='scene-font-katari'>姬塔達の前に現れたのは、</span><br><span class='scene-font-katari'>水着に身を包んだ</span><br><span class='scene-font-katari'>四大天司ガブリエルであった。</span>,
20,ガブリエル/加百列,エウロペの様子を見たくてね。<br>ここにいれば貴方達に会えると思って<br>こうして待っていたのよ。,
21,ビィ/碧,それにしちゃ楽しんでるように<br>見えるけどよ……,
22,ガブリエル/加百列,楽しんでるわよ。<br>人間みたいにバカンスしながらね。<br>この水着、どうかしら？,
23,ルリア/露莉亚,はわわ～！<br>とっても素敵です！,
24,ガブリエル/加百列,ありがとう。みんなも素敵よ。<br>……エウロペ、貴方の水着も。<br>だけど、なにやら悩んでいる様子ね。,
25,,<span class='scene-font-katari'>どこからか見ていたらしく、</span><br><span class='scene-font-katari'>ガブリエルの口ぶりは</span><br><span class='scene-font-katari'>すべてを承知しているようだった。</span>,
26,エウロペ/欧罗巴,恥ずかしながら……<br>私は己の未熟さを<br>痛感する日々を送っております。,
27,ガブリエル/加百列,星晶獣といえど、<br>人の世に身を置けば<br>そのようなこともあるわ。,
28,ガブリエル/加百列,けど、よく聞きなさい。<br>人間の行動は<br>あらゆる側面を持っているのよ。,
29,エウロペ/欧罗巴,あらゆる側面？<br>それは一体……？,
30,ガブリエル/加百列,たとえばナンパなどは<br>自然界における求愛行動と<br>通じるところがあるわ。,
31,ガブリエル/加百列,自然を愛する貴方の精神と<br>相反しないでしょう？,
32,エウロペ/欧罗巴,はい、私もそう考えているのです。,
33,ビィ/碧,えっとぉ……<br>自然界の求愛ってなんのことだぁ？,
34,エウロペ/欧罗巴,きらびやかな羽を広げて踊ったり、<br>花や小石などを贈ったりする動物が、<br>自然界にはたくさんおります。,
35,エウロペ/欧罗巴,貴方と共にいたい……<br>というメッセージを<br>行動で伝えようとしているのです。,
36,ルリア/露莉亚,はわぁ～！　素敵です～！,
37,エウロペ/欧罗巴,はい……求愛行動は尊く、<br>美しいものであるという点は<br>疑いようもありません。,
38,ガブリエル/加百列,そういった自然の摂理と<br>人間の行動を照らし合わせたが故に<br>エウロペは思い悩むことになったのね。,
39,ガブリエル/加百列,けど、人間の関わる物事は複雑なのよ。<br>ひとつの事象に対し、<br>あらゆる見方ができるものなの。,
40,ガブリエル/加百列,たとえばナンパひとつとっても、<br>素敵な未来につながることはあるわ。<br>無論、それが難しい時もあるけどね。,
41,エウロペ/欧罗巴,それはどのように<br>見分けるのでしょうか？<br>私にはわからないのです……,
42,ガブリエル/加百列,思い出しなさい、エウロペ。<br>動物が自然の中で環境に適した<br>過ごし方を覚えていくように……,
43,ガブリエル/加百列,人間を知りたいのであれば<br>人間のように過ごしてみることよ。<br>見るだけではなく、ね。,
44,ガブリエル/加百列,貴方が自ら特異点の旅に<br>加わることを望んだのは<br>そのためだったはずでしょう？,
45,ビィ/碧,な、なんか難しい話になってねぇか？,
46,ガブリエル/加百列,いいえ、むしろとても簡単よ。<br>観察してばかりでは、かえって<br>なにも見えてこないというだけの話。,
47,ガブリエル/加百列,そしてここは<span class='scene-font-place'>アウギュステ</span>。<br>となると、やることはひとつ。<br>貴方にはこの意味、わかるわね？,
48,エウロペ/欧罗巴,…………,
49,エウロペ/欧罗巴,……はい。<br>ガブリエル様の慧眼に<br>私は敬服いたしました。,
50,,<span class='scene-font-katari'>そしてエウロペは</span><br><span class='scene-font-katari'>姬塔に向き直り、</span><br><span class='scene-font-katari'>胸の前で手を組んだ。</span>,
51,エウロペ/欧罗巴,姬塔様、<br>このエウロペにバカンスを<br>教えていただけますか？,
52,ビィ/碧,へへっ、そういうことか！,
53,ルリア/露莉亚,ゴミ拾いも済みましたし、<br>みんなで楽しみましょう！,
54,,<span class='scene-font-katari'>うなずいた姬塔は</span><br><span class='scene-font-katari'>エウロペの手を引き、</span><br><span class='scene-font-katari'>颯爽と駆けだすのだった。</span>,
info,,,scene_chr554_q2_s10
译者,,,
