id,name,text,trans
0-chapter_name,,波打ち際の夕涼み,夕日下的海边乘凉
0-synopsis,,翌日の仕入れまでの間休憩することになり、サンダルフォンはひとり珈琲を楽しんでいた。するとそこにルシオが現れ、姬塔達とのビーチバレーにサンダルフォンを誘う。すげなく断るサンダルフォンだったが、ルシオはその後もサンダルフォンに構い続ける。ついカッとなったサンダルフォンが言葉を荒げると、ルシオは寂しそうに微笑みその場を退くのだった。,在次日店铺的准备工作开始前，圣德芬一人享受着咖啡，路西欧突然出现问圣德芬要不要一起玩排球。虽然遭到了圣德芬的当场拒绝，路西欧还是不停地跑过来搭话，圣德芬终于受不了他的频繁骚扰而发火，路西欧面带微笑容寂寞地走开了。
1,,<span class='scene-font-katari'>店の混雑もおさまり、</span><br><span class='scene-font-katari'>翌日の仕入れが始まるまで</span><br><span class='scene-font-katari'>皆は休憩となった。</span>,店铺的人流终于得到了控制，第二天的食材还没有到货，大家先去休息了。
2,ルリア/露莉亚,ルシオさん！<br>今度は私がサーブです！,路西欧！这次是我发球啦！
3,ルシオ/路西欧,ええ。<br>いつでもどうぞ。,好的，随时都可以开始。
4,ルリア/露莉亚,えいっ！,看球！
5,ルシオ/路西欧,フフ。<br>なかなか鋭いボールですね。,呵呵，真是有力的发球呀。
6,ルシオ/路西欧,ふっ……！,哈……！
7,,<span class='scene-font-katari'>ルシオとビーチバレーを楽しむ</span><br><span class='scene-font-katari'>姬塔達。</span><br><span class='scene-font-katari'>その一方──</span>,姬塔一行正在和路西欧打沙滩排球，另一边──
8,サンダルフォン/圣德芬,…………,…………
9,,<span class='scene-font-katari'>サンダルフォンは木陰のテーブルで</span><br><span class='scene-font-katari'>仕事終わりの珈琲を楽しんでいた。</span>,圣德芬在树阴下的餐桌前享受着工作后的咖啡。
10,サンダルフォン/圣德芬,む……,唔……
11,,<span class='scene-font-katari'>と、転がってきたボールに</span><br><span class='scene-font-katari'>目を止めるサンダルフォン。</span>,排球向着圣德芬滚了过来。
13,ルシオ/路西欧,フフ、<br>つい力が入りすぎてしまいました。,呵呵，不小心用力过头了。
14,サンダルフォン/圣德芬,…………,…………
15,ルシオ/路西欧,サンちゃんもどうです？<br>海岸のレジャーに興じてみては。,芬酱也来吗？试一试沙滩运动什么的。
16,サンダルフォン/圣德芬,貴様の顔面を狙いかねん。<br>自重しておく。,不了，我会忍不住用球砸你的脸。
17,ルシオ/路西欧,なるほど……<br>ビーチバレーはお好きではないと。,这样啊……你不喜欢沙滩排球吗。
18,サンダルフォン/圣德芬,…………,…………
